Map_Name,Map_Text
Restaurante,SUBWAY MULTIPLAZA ESCA 
Gasolina,SERVICENTRO EL HIGUERO
Restaurante,LA FABRICA PIZZERIA CU 
Restaurante,ROSTIPOLLOS
Supermercado,AUTO MERCADO PL/DEL SO 
Restaurante,HOOLIGANS 
Diversion,JUMP CENTER
Restaurante,RESTAURANTE TACO BELL
Software,Spotify 
Restaurante,TERIYAKI MULTIPLAZA ES 
Supermercado,WALMART ESCAZ
Software,Dropbox 7N5JWLK5LLBQ
Restaurante,AROMA COFEE HOUSE
Restaurante,PORKYS BURGER
Gimnasio,MULTISPA DEL OESTE
Restaurante,SUBWAY U/LATINA
Restaurante,ROSTIPOLLOS MULTIPLAZA
Salud,NUTRICION INTEGRAL
Supermercado,AUTO MERCADO PL/DEL SO
Restaurante,RESTAURANTE TERRAZA TO
Restaurante,PF CHANG S
Restaurante,SUBWAY MULTIPLAZA ESCA
Restaurante,LA FABRICA PIZZERIA
Restaurante,TERIYAKI MULTIPLAZA ES
Supermercado,AUTO MERCADO MULTIPLAZ
Regalos,LIBRERIA INTERNACIONAL
Salud,FARM/SUCRE MULTIPLAZA OESTE
Gasolina,SERVICENTRO EL HIGUERON
Gasolina,BOMBA LA MARINA
Restaurante,SUBWAY CIUDAD QUESADA
Regalos,ALMACENES SIMAN
Imprevisto,ENTERPRISE CURRIDABAT
Restaurante,CRCC HOYO 19 N/1
Supermercado,SUPERMERCADO COOPEMARI
Restaurante,LA FABRICA PIZZERIA CU
Regalos,UNIVERSAL: OTRAS TARJE
Restaurante,LA CASONA DE LALY SANT
Regalos,EXTREMOS CAMARO MRB MU
Supermercado,MEGA SUPER SANTA ANA
Supermercado,MAXIPALI CIUDAD QUESADA
Restaurante,N Y C PIZZA BCO
Regalos,EKONO SAN CARLOS
Restaurante,CABANA DON MANUEL
Gasolina,SERVICENTRO LA ESPERAN
Restaurante,SUBWAY CIUDAD QUESADA
Restaurante,SUBWAY PLAZA DEL SOL
Restaurante,TERIYAKI SANTA ANA
Restaurante,ROSTIPOLLOS
Restaurante,LA FABRICA PIZZERIA CU
Restaurante,RESTAURANTE LAS HORTEN
Restaurante,RESTAURANTE LAS HORTEN
Gasolina,SERVICENTRO LA ESPERAN
Restaurante,HOOTERS
Restaurante,TAQUIROUS FAST FOOD
Software,NETFLIX/COM
Restaurante,AROMA COFEE HOUSE
Restaurante,CHILIS MULTIPLAZA DEL
Restaurante,TAP HOUSE
Restaurante,TERIYAKI MULTIPLAZA DE
Restaurante,NINA CAFE
Restaurante,SUBWAY PLAZA DEL SOL
Restaurante,DON RUFINO RESTAURANTE
Restaurante,LAS BRASITAS RESTAURAN
Software,Spotify 
Gasolina,SERVICENTRO EL HIGUERO
Supermercado,AUTO MERCADO PL/DEL SO
Restaurante,ANCHIO PIZZERIA E RIST
Supermercado,SUPER CRISTIAN
Restaurante,NINA CAFE
Supermercado,SUPER EL PARQUE
Supermercado,SUPER EL PARQUE
Restaurante,NINA CAFE
Restaurante,SUBWAY U/LATINA
Restaurante,EL RANCHO DE LALY
Restaurante,LA FABRICA PIZZERIA CU
Restaurante,SUBWAY U/LATINA
Software,Dropbox  
Restaurante,FOOD AND WINE
Restaurante,PF CHANG S
Salud,FARMACIA FISCHEL PLAZA DEL SOL
Restaurante,NINA CAFƒ
Gasolina,SERVICENTRO EL HIGUERO
Restaurante,LA CASONA DE LALY SANT
Restaurante,NINA CAFƒ
Gimnasio,MULTISPA DEL OESTE
Restaurante,NINA CAFE 
Supermercado,MAS X MENOS LA GRANJA SERVINET
Restaurante,SUBWAY U/LATINA 
Restaurante,LA FABRICA PIZZERIA CU 
Restaurante,PIPOS DOG
Restaurante,POPS SAN CARLOS 
Restaurante,TAQUIROUS FAST FOOD 
Gasolina,ESTACION DE SERV/LOYVA LTDA 
Restaurante,TILAPIAS QUECO S 
Software,NETFLIX/COM 
Celular,Pago ICE TelŽfono 
Restaurante,LA CASONA DE LALY SANT\SANTA A
Restaurante,LA CASONA DE LALY SANT\SANTA A
Restaurante,DA PATRICIO E LUIGI RI\SAN JOS
Restaurante,SUBWAY U.LATINA
Restaurante,LA CASONA DE LALY SANT\SANTA A
Restaurante,LA FABRICA PIZZERIA CURRIDABAT
Gasolina,SERVICENTRO LA GALERA
Restaurante,SUBWAY U.LATINA
Restaurante,RESTAURANTE LAS HORTENSIAS
Restaurante,KENKO SUSHI\ ALAJUEL
Restaurante,SUPER EL PARQUE\ ALAJUEL
Supermercado,AUTO MERCADO PL.DEL SOL
Celular,Pago ICE TelŽfono 
Supermercado,AUTO MERCADO PL.DEL SOL
Restaurante,SUBWAY U.LATINA
Restaurante,SUBWAY U.LATINA
Restaurante,DA PATRICIO E LUIGI RI\SAN JOS
Restaurante,LA FABRICA PIZZERIA CURRIDABAT
Gasolina,SERVICENTRO EL HIGUERON
Restaurante,SUPER LA FERIA
Restaurante,SUBWAY CIUDAD QUESADA
Salud,IES KAVERNO BARBER SHOP
Restaurante,LA CASONA DE LALY SANT\SANTA A
Restaurante,PF CHANG S\ ESCAZU
Supermercado,AUTO MERCADO PL.DEL SOL
Restaurante,NIKKLAS
Restaurante,JOHNNY ROCKETS TERRAZAS LINDOR
Supermercado,MINI SUPER FRUTICAS N 1
Restaurante,NINA CAFE
Regalos,LIBRERIA INTERNACIONAL
Restaurante,TERIYAKI MULTIPLAZA DEL ESTE
Restaurante,TAP HOUSE
Gasolina,SERVICENTRO EL HIGUERON
Regalos,CALZADO CICLON AGUAS ZARCAS
Restaurante,POPS SAN CARLOS
Restaurante,SUBWAY CIUDAD QUESADA
Regalos,EL REY NO. 10 SAN CARLOS TAIWA
Supermercado,AUTO MERCADO PL.DEL SOL
Restaurante,LA FABRICA PIZZERIA CURRIDABAT
Restaurante,SUBWAY U.LATINA
Supermercado,AUTO MERCADO PL.DEL SOL
Restaurante,LA FABRICA PIZZERIA CURRIDABAT
Salud,FISCHEL SAN PEDRO S64
Restaurante,NAANS Y CURRIES
Restaurante,LA CASONA DE LALY SANT\SANTA A
Restaurante,COSI CURRIDABAT
Supermercado,SUPERMERCADO MU‹OZ Y N\SAN JOS
Gasolina,SERVICENTRO EL HIGUERO\SAN JOS
Supermercado,AUTO MERCADO PL.DEL SOL
Supermercado,MINI SUPER FRUTICAS N 1
Gimnasio,GIMNASIO CIPRESES
Restaurante,NINA CAFE
Regalos,PANDORA
Restaurante,SUBWAY U.LATINA
Restaurante,NINA CAFE
Restaurante,SUBWAY U.LATINA
Restaurante,LA FABRICA PIZZERIA CURRIDABAT
Restaurante,LA FABRICA PIZZERIA CURRIDABAT
Supermercado,SUPER MARKET PURA VIDA
Restaurante,THE RUNAWAY GRILL\ QUEPOS
Restaurante,GELATERIA AMOROSI\ QUEPOS
Restaurante,EMILIOS S CAFE\ QUEPOS
Supermercado,AUTO MERCADO PL.DEL SOL
Gasolina,SERVICENTRO LA GALERA
Restaurante,SUBWAY U.LATINA
Restaurante,TAP HOUSE
Supermercado,WALMART ESCAZU DIRECTO
Restaurante,NINA CAFE
Regalos,ALMACENES SIMAN
Regalos,HALLMARK
Restaurante,NAANS Y CURRIES
Restaurante,MC DONALD S MULTIPLAZA 5TA.ETA
Diversion,AUTO PARKING
Restaurante,EL RANCHO
Restaurante,EL ANDEN
Restaurante,LA TORTILLERIA EXPRESS
Restaurante,SUBWAY U.LATINA
Transferencia,DD SINPE DE Rojas_Ugalde_Danie
Transferencia,DD SINPE DE Rojas_Ugalde_Danie
Transferencia,TEF A : 
Transferencia,TEF A : 
Transferencia,TEF A : 
Carro,PURDY MOTOR
Transferencia,DTR:bac_a_bcr_transfere
Restaurante,LA TORTILLERIA EXPRESS
Celular,Pago ICE TelŽfono 
Supermercado,AUTO MERCADO PL.DEL SOL
Restaurante,SUBWAY PLAZA DEL SOL
Transferencia,DD SINPE DE 
Supermercado,AUTO MERCADO PL.DEL SOL
Supermercado,MINI SUPER FRUTICAS N 1
Gasolina,SERVICENTRO LA GALERA
Restaurante,SUBWAY TORRES DEL LAGO
Diversion,JIMENEZ & TANZI
Restaurante,LA FABRICA PIZZERIA CURRIDABAT
Restaurante,NINA CAFE
Supermercado,AUTO MERCADO PL.DEL SOL
Restaurante,NA PRAIA
Restaurante,SUBWAY U.LATINA
Restaurante,TEF A : 
Supermercado,SUPERMERCADO COMPRE BIEN SAN C
Supermercado,LOS PALETEROS\ ALAJUEL
Regalos,CAFE BRITT EXPRESO MULTIPLAZA
Supermercado,AUTO MERCADO PL.DEL SOL
Gasolina,SERVICENTRO LA GALERA
Restaurante,GUACAMOLE\ SAN JOS
Restaurante,DELICIAS DEL COMAL
Supermercado,MASXMENOS BO SN JOSE DIRECTO
Supermercado,MASXMENOS BO SN JOSE DIRECTO
Restaurante,DELICIAS DEL COMAL \CENTRAL
Gimnasio,GIMNASIO CIPRESES
Supermercado,AUTO MERCADO PL.DEL SOL
Restaurante,SUBWAY U.LATINA
Restaurante,LA FABRICA PIZZERIA CURRIDABAT
Restaurante,TACO BELL TRIANGULO
Restaurante,CHILIS MULTIPLAZA DEL ESTE
Restaurante,ROSTIPOLLOS REAL CARIARI
Transferencia,DD SINPE DE 
Restaurante,NINA CAFE
Supermercado,MULTIMERCADO AM PM ESCAZU
Regalos,ICON MULTIP ESCAZU
Regalos,AUTO PARKING
Restaurante,LA CASONA DE LALY SANT\SANTA A
Regalos,BEBE MUNDO MULTI ESCA\SAN JOS
Supermercado,DECO QUEQUES Y MAS
Restaurante,SUBWAY CIUDAD QUESADA
Restaurante,SUBWAY CIUDAD QUESADA
Gasolina,DELTA CIUDAD QUESADA
Transferencia,TEF A : 
Restaurante,SUPERMERCADO COMPRE BIEN SAN C
Gasolina,AUTOSERVICIO C.QUESADA\ALAJUEL
Restaurante,MCDONALD S SAN CARLOS
Supermercado,SUPER EL PARQUE\ ALAJUEL
Supermercado,ZU MARKET\ ALAJUEL
Supermercado,SU CASA SUPERMERCADO\ ALAJUEL
Supermercado,SU CASA SUPERMERCADO\ ALAJUEL
Restaurante,SUBWAY CIUDAD QUESADA
Restaurante,SPOON MULTIPLAZA DEL ESTE
Celular,Pago ICE TelŽfono 
Transferencia,DD SINPE DE 
Gasolina,ESTACION DE SERVICIO LOYVA
Supermercado,AUTO MERCADO PL.DEL SOL
Transferencia,CD SINPE A 
Transferencia,COMISION CD SINPE A 
Transferencia,TEF A : 
Supermercado,AUTO MERCADO PL.DEL SOL
Supermercado,LOS PALETEROS
Regalos,IES KAVERNO BARBER SHOP
Regalos,AUTO PARKING
Restaurante,TERIYAKI MULTIPLAZA ESCAZU
Restaurante,APPLEBEES LINDORA
Restaurante,SUBWAY PLAZA DEL SOL
Supermercado,AUTO MERCADO PL.DEL SOL
Gasolina,SERVICENTRO LA GALERA
Supermercado,SUPERMERCADO CANASTA BASICA
Transferencia,TEF A : 
Restaurante,MCDONALD S SAN CARLOS
Transferencia,DD SINPE DE Rojas_Ugalde_Danie
Supermercado,AUTO MERCADO PL.DEL SOL
Restaurante,RESTAURANTE TAIKO \SAN CAR
Restaurante,N Y C PIZZA BCO\ ALAJUEL
Restaurante,RESTAURANTE PORKY'S BU\SAN JOS
Regalos,DRY CLEAN USA CURRIDABAT
Supermercado,AUTO MERCADO PL.DEL SOL
Transferencia,TEF A : 
Transferencia,DD SINPE DE Rojas_Ugalde_Danie
Restaurante,SUBWAY U.LATINA
Gasolina,SERVICENTRO LA GALERA
Restaurante,TILAPIAS QUECO S
Restaurante,RESTAURANTE LAS HORTENSIAS
Supermercado,AUTO MERCADO PL.DEL SOL
Restaurante,NINA CAFE
Supermercado,MINI SUPER FRUTICAS N 1
Restaurante,NINA CAFE
Gimnasio,GIMNASIO CIPRESES
Restaurante,NINA CAFE
Restaurante,MEGA SUPER SANTA ANA
Restaurante,SUBWAY U.LATINA
Gasolina,SERVICENTRO EL HIGUERO\SAN JOS
Restaurante,SUBWAY U.LATINA
Restaurante,LA FABRICA PIZZERIA CURRIDABAT
Regalos,YAMUNI SUCURSAL DEL ESTE
Restaurante,LA CASONA DE LALY SANT\SANTA A
Salud,FISCHEL PLAZA DEL SOL S02
Supermercado,AUTO MERCADO PL.DEL SOL
Restaurante,LAS CATRINAS RESTAURANTE
Supermercado,AUTO MERCADO PL.DEL SOL
Restaurante,NINA CAFE
Supermercado,AUTO MERCADO PL.DEL SOL
Restaurante,HELADERIA LA ESTACION AVENIDA
Restaurante,SUBWAY U.LATINA
Restaurante,CACIQUITA RESTAUR Y LO HEREDIA
Restaurante,SUBWAY CIUD
Restaurante,RESTAURANTE TAIKO ALAJUELA
Gasolina,ESTAC. DE SERVICIO LOI ALAJUELA
Supermercado,AUTO MERCAD